,Set,Name,Amount,Foil?,Notes
,Avacyn Restored,Maalfeld Twins,1,,
,Avacyn Restored,Bone Splinters,2,,
,Avacyn Restored,Mental Agony,6,,
,Avacyn Restored,Appetite for Brains,2,,
,Avacyn Restored,Essence Harvest,2,,
,Avacyn Restored,Grave Exchange,2,,
,Avacyn Restored,Barter in Blood,1,,
,Avacyn Restored,Ghoulflesh,2,,
,Avacyn Restored,Homicidal Seclusion,1,,
,Avacyn Restored,Unhallowed Pact,2,,
,Avacyn Restored,Triumph of Cruelty,2,,
,Avacyn Restored,Predator's Gambit,2,,
,Avacyn Restored,Necrobite,3,,
,Avacyn Restored,Death Wind,1,,
,Avacyn Restored,Human Frailty,1,,
,Avacyn Restored,Haunted Guardian,1,,
,Avacyn Restored,Narstad Scrapper,1,,
,Avacyn Restored,Tormentor's Trident,1,,
,Avacyn Restored,Vanguard's Shield,2,,
,Avacyn Restored,Scroll of Avacyn,3,,
,Avacyn Restored,Scroll of Griselbrand,2,,
,Avacyn Restored,Angel's Tomb,3,,
,Magic 2012,Goblin Arsonist,4,,
,Magic 2012,Fiery Hellhound,4,,
,Magic 2012,Goblin Bangchuckers,1,,
,Magic 2012,Blood Ogre,4,,
,Magic 2012,Manic Vandal,2,,
,Magic 2012,Volcanic Dragon,1,,
,Magic 2012,Gorehorn Minotaurs,2,,
,Magic 2012,Goblin Tunneler,2,,
,Magic 2012,Crimson Mage,1,,
,Magic 2012,Bonebreaker Giant,4,,
,Magic 2012,Stormblood Berserker,2,,
,Magic 2012,Goblin Fireslinger,3,,
,Magic 2012,Goblin PIker,1,,
,Magic 2012,Wall of Torches,1,,
,Magic 2012,Tectonic Rift,2,,
,Magic 2012,Fireball,2,,
,Magic 2012,Circle of Flame,1,,
,Magic 2012,Slaughter Cry,1,,
,Magic 2012,Shock,5,,
,Magic 2012,Chandra's Outrage,2,,
,Magic 2012,Reverberate,1,,
,Magic 2012,Incinerate,1,,
,Magic 2012,Cemetery Reaper,2,,
,Magic 2012,Vampire Outcasts,2,,
,Magic 2012,Onyx Mage,3,,
,Magic 2012,Sengir Vampire,2,,
,Magic 2012,Reassembling Skeleton,3,,
,Magic 2012,Warpath Ghoul,5,,
,Magic 2012,Zombie Goliath,3,,
,Magic 2012,Child of Night,2,,
,Magic 2012,Tormented Soul,2,,
,Magic 2012,Devouring Swarm,3,,
,Magic 2012,Gravedigger,2,,
,Magic 2012,Bloodrage Vampire,3,,
,Magic 2012,Duskhunter Bat,4,,
,Magic 2012,Doom Blade,4,,
,Magic 2012,Sorin's Thirst,1,,
,Magic 2012,Distress,2,,
,Magic 2012,Mind Rot,1,,
,Magic 2012,Disentomb,2,,
,Magic 2012,Hideous Visage,2,,
,Magic 2012,Taste of Blood,1,,
,Magic 2012,Deathmark,1,,
,Magic 2012,Consume Spirit,1,,
,Magic 2012,Dark Favor,2,,
,Magic 2012,Brink of Disaster,2,,
,Magic 2012,Zombie Infestation,1,,
,Magic 2012,Crumbling Colossus,2,,
,Magic 2012,Rusted Sentinel,2,,
,Magic 2012,Scepter of Empires,3,,
,Magic 2012,Crown of Empires,1,,
,Magic 2012,Wurm's Tooth,1,,
,Magic 2012,Manalith,1,,
,Magic 2012,Elixir of Immortality,3,,
,Magic 2012,Arachnus Web,1,,In binder
,Visions,Ovinomancer,1,,In binder
,Visions,Man-o'-War,1,,In binder
,Visions,Coercion,1,,In binder
,Visions,Dwarven Vigilantes,1,,In binder
,Visions,Undiscovered Paradise,1,,In binder
,Visions,Remedy,1,,In binder
,Visions,River Boa,1,,In binder
,Visions,Dark Privilege,1,,In binder
,Visions,Magma Mine,1,,In binder
,Visions,Longbow Archer,1,,In binder
,Visions,Fallen Askari,1,,In binder
,Ice Age,Pit Trap,1,,In binder
,Visions,Infantry Veteran,1,,In binder
,Visions,hope Charm,1,,In binder
,Ice Age,hymn of Rebirth,1,,In binder
,Ice Age,hipparion,1,,In binder
,Visions,Shrieking Drake,1,,In binder
,Ice Age,Illusionary Presence,1,,In binder
,Ice Age,Barbed Sextant,1,,In binder
,Ice Age,Woolly Spider,1,,In binder
,Ice Age,cooperation,1,,In binder
,Ice Age,Foxfire,1,,In binder
,Ice Age,Tor Giant,1,,In binder
,Ice Age,Brown Ouphe,1,,In binder
,Ice Age,Circle of Protection: Black,1,,In binder
,Ice Age,Foul Familiar,1,,In binder
,Ice Age,Circle of Protection: Green,1,,In binder
,Ice Age,Kjeldoran Dead,1,,In binder
,Magic 2013,Mind Rot,2,,
,Magic 2013,Vile Rebirth,1,,
,Magic 2013,Crippling Blight,2,,
,Magic 2013,Ravenous Rats,1,,
,Magic 2013,Zombie Goliath,1,,
,Magic 2013,Sign in Blood,1,,
,Dark Ascension,Chosen of Markov,5,,
,Dark Ascension,Vengeful Vampire,1,,
,Dark Ascension,Sightless Ghoul,3,,
,Dark Ascension,Wakedancer,1,,
,Dark Ascension,Highborn Ghoul,1,,
,Dark Ascension,Harrowing Journey,1,,
,Dark Ascension,Deadly Allure,1,,
,Dark Ascension,Death's Caress,2,,
,Dark Ascension,Reap the Seagraf,3,,
,Dark Ascension,Gravepurge,2,,
,Dark Ascension,Curse of Thirst,2,,
,Dark Ascension,Spiteful Shadows,3,,
,Dark Ascension,Chalice of Life,2,,
,Dark Ascension,Warden of the Wall,1,,
,Dark Ascension,Altar of the Lost,2,,
,Dark Ascension,Executioner's Hood,1,,
,Dark Ascension,Heavy Mattock,2,,
,Dark Ascension,Wolfhunter's Quiver,2,,
,Dark Ascension,Avacyn's Collar,1,,
,Dark Ascension,Fires of Undeath,1,,
,Dark Ascension,Increasing Vengeance,1,,
,Dark Ascension,Fling,2,,
,Dark Ascension,Talons of Falkenrath,3,,
,Dark Ascension,Faithless Looting,1,,
,Dark Ascension,Shattered Perception,1,,
,Dark Ascension,Blood Feud,1,,
,Dark Ascension,Scorch the Fields,3,,
,Dark Ascension,Torch Fiend,3,,
,Dark Ascension,Erdwal Ripper,3,,
,Dark Ascension,Russet Wolves,2,,
,Dark Ascension,Forge Devil,3,,
,Dark Ascension,Markov Warlord,2,,
,Dark Ascension,Nearheath Stalker,1,,
,Dark Ascension,Tracker's Instincts,1,,
,Dark Ascension,Grim Flowering,1,,
,Dark Ascension,Favor of the Woods,1,,
,Dark Ascension,Clinging Mists,1,,
,Dark Ascension,Wild Hunger,1,,
,Dark Ascension,Crushing Vines,2,,
,Dark Ascension,Somberwald Dryad,2,,
,Dark Ascension,Kessig Recluse,2,,
,Dark Ascension,Ulvenwald Bear,3,,
,Dark Ascension,Lambholt Elder,2,,
,Dark Ascension,Hollowhenge Beast,2,,
,Dark Ascension,Gravetiller Wurm,1,,
,Dark Ascension,Village Survivors,1,,
,Dark Ascension,Dawntreader Elk,1,,
,Zendikar,Scythe Tiger,1,,
,Zendikar,Grazing Gladehart,1,,
,Zendikar,Timbermaw Larva,2,,
,Zendikar,Zendikar Farguide,1,,
,Zendikar,River Boa,1,,
,Zendikar,Turntimber Basilisk,1,,
,Zendikar,Relic Crush,2,,
,Zendikar,Tanglesap,1,,
,Dragon's Maze,Phytoburst,1,,
,Zendikar,Beast Hunt,1,,
,Zendikar,Crypt Ripper,1,,
,Zendikar,Vampire Nighthawk,1,,
,Zendikar,Mindless Null,1,,
,Zendikar,Blood Seeker,1,,
,Zendikar,Giant Scorpion,1,,
,Zendikar,Bog Tatters,1,,
,Zendikar,Hagra Diabolist,1,,
,Zendikar,Marsh Casualties,1,,
,Zendikar,Grim Discovery,1,,
,Zendikar,Vampire's Bite,2,,
,Zendikar,Expedition Map,1,,
,Magic 2013,Sentinel Spider,1,,
,Magic 2013,Yeva's Forcemage,1,,
,Magic 2013,Timberpack Wolf,1,,
,Magic 2013,Roaring Primadox,1,,
,Magic 2013,Bountiful Harvest,1,,
,Magic 2013,Prey Upon,1,,
,Magic 2013,Mogg Flunkies,1,,
,Magic 2013,Furnace Whelp,1,,
,Magic 2013,Crimson Muckwader,1,,
,Magic 2013,Bladetusk Boar,1,,
,Magic 2013,Goblin Battle Jester,1,,
,Magic 2013,Mindclaw Shaman,1,,
,Magic 2013,Krenko's Command,1,,
,Magic 2013,Turn to Slag,1,,
,Magic 2013,Volcanic Geyser,1,,
,Magic 2013,Ring of Evos Isle,2,,
,Magic 2013,Kitesail,1,,
,Magic 2013,Ring of Valkas,1,,
,Magic 2013,Ring of Xathrid,1,,
,Magic 2013,Clock of Omens,2,,
,Magic 2013,Tormod's Crypt,1,,
,Magic 2013,Staff of Nin,1,,
,Zendikar,Torch Slinger,1,,
,Zendikar,Goblin Shortcutter,1,,
,Zendikar,Geyser Glider,1,,
,Zendikar,Shatterskull Giant,1,,
,Zendikar,Hellfire Mongrel,1,,
,Zendikar,Bladetusk Boar,1,,
,Zendikar,Demolish,1,,
,Zendikar,Mark of Mutiny,1,,
,Zendikar,Zektar Shrine Expedition,1,,
,Zendikar,Inferno Trap,1,,
,Return to Ravnica,Street Spasm,1,,
,Return to Ravnica,Splatter Thug,1,,
,Return to Ravnica,Vandalblast,1,,
,Return to Ravnica,Dynacharge,2,,
,Return to Ravnica,Ogre Jailbreaker,1,,
,Return to Ravnica,Shrieking affliction,1,,
,Return to Ravnica,Perilous Shadow,1,,
,Return to Ravnica,Terrus Wurm,1,,
,Return to Ravnica,Destroy the Evidence,1,,
,Return to Ravnica,Rakdos Keyrune,1,,
,New Phyrexia,Flameborn Viron,2,,
,New Phyrexia,Tormentor Exarch,2,,
,New Phyrexia,Vulshok Refugee,1,,
,New Phyrexia,Furnace Scamp,2,,
,New Phyrexia,Geosurge,1,,
,New Phyrexia,Ruthless Invasion,1,,
,New Phyrexia,Whipflare,2,,
,New Phyrexia,Scrapyard Salvo,1,,
,New Phyrexia,Artillerize,3,,
,New Phyrexia,Volt Charge,2,,
,New Phyrexia,Phyrexian Hulk,1,,
,New Phyrexia,Vault Skirge,2,,
,New Phyrexia,Kiln Walker,1,,
,New Phyrexia,Pestilent Souleater,1,,
,New Phyrexia,Pith Driller,1,,
,New Phyrexia,Insatiable Souleater,1,,
,New Phyrexia,Mycosynth Wellspring,1,,
,Return to Ravnica,Centaur's Herald,2,,
,Return to Ravnica,Towering Indrik,1,,
,Return to Ravnica,Golgari Decoy,1,,
,Return to Ravnica,Drudge Beetle,2,,
,Return to Ravnica,Korozda Monitor,1,,
,Return to Ravnica,Stonefare Crocodile,1,,
,Return to Ravnica,Axebane Guardian,1,,
,Return to Ravnica,Gatecreeper Vine,1,,
,Return to Ravnica,Horncaller's Chant,1,,
,Return to Ravnica,Seek the Horizon,2,,
,New Phyrexia,Toxic Nim,1,,
,New Phyrexia,Mortis Dogs,2,,
,New Phyrexia,Entomber Exarch,2,,
,New Phyrexia,Ichor Explosion,1,,
,New Phyrexia,Grim Affliction,1,,
,New Phyrexia,Geth's Verdict,3,,
,New Phyrexia,Parasitic Implant,3,,
,New Phyrexia,Evil Presence,1,,
,New Phyrexia,Enslave,1,,
,New Phyrexia,Viridian Betrayers,2,,
,New Phyrexia,Mycosynth Fiend,1,,
,New Phyrexia,Spinebiter,1,,
,New Phyrexia,Viridian Harvest,1,,
,New Phyrexia,Mutagenic Growth,1,,
,Rise of the Eldrazi,Hand of Emrakul,1,,
,Rise of the Eldrazi,Bloodthrone Vampire,2,,
,Rise of the Eldrazi,Gloomhunter,1,,
,Rise of the Eldrazi,Pawn of Ulamog,1,,
,Rise of the Eldrazi,Vendetta,2,,
,Rise of the Eldrazi,Perish the Thought,1,,
,Rise of the Eldrazi,Essence Feed,1,,
,Rise of the Eldrazi,Contaminated Ground,1,,
,Rise of the Eldrazi,Nema Siltlurker,1,,
,Rise of the Eldrazi,Growth Spasm,1,,
,Rise of the Eldrazi,Rapacious One,1,,
,Rise of the Eldrazi,Lavafume Invoker,2,,
,Rise of the Eldrazi,Ogre Sentry,1,,
,Rise of the Eldrazi,Emrakul's Hatcher,2,,
,Rise of the Eldrazi,Lagac Lizard,1,,
,Rise of the Eldrazi,Fissure Vent,1,,
,Rise of the Eldrazi,Wrap in Flames,1,,
,Gatecrash,Adaptive Snapjaw,1,,
,Gatecrash,Greenside Watcher,1,,
,Gatecrash,Slaughterhorn,1,,
,Gatecrash,Experiment One,1,,
,Gatecrash,Crowned Ceratok,1,,
,Gatecrash,Skarrg Goliath,1,TRUE,promo
,Gatecrash,Slaughterhorn,1,,
,Gatecrash,Scab-Clan Charger,1,,
,Gatecrash,Crocanura,1,,
,Gatecrash,Serene Remembrance,1,,
,Gatecrash,Verdant Haven,1,,
,Gatecrash,Burst of Strength,1,,
,Gatecrash,Wildwood Rebirth,1,,
,Gatecrash,Corpse Blockade,1,,
,Gatecrash,Syndicate Enforcer,1,,
,Gatecrash,Balustrade Spy,2,,
,Gatecrash,Thrull Parasite,1,,
,Gatecrash,Slate Street Ruffian,1,,
,Gatecrash,Gutter Skulk,1,TRUE,
,Gatecrash,Gateway Shade,1,,
,Gatecrash,Horror of the Dim,2,,
,Gatecrash,Gutter Skulk,1,,
,Gatecrash,Shadow Alley Denizen,2,,
,Gatecrash,Basilica Screecher,2,,
,Gatecrash,Death's Approach,1,,
,Gatecrash,Illness in the Ranks,2,,
,Gatecrash,Grisly Spectacle,1,,
,Gatecrash,Killing Glare,1,,
,Gatecrash,Devour Flesh,1,,
,Gatecrash,Shadow Slice,1,,
,Gatecrash,Midnight Recovery,1,,
,Gatecrash,Mental Vapors,1,,
,Gatecrash,Skinbrand Goblin,1,,
,Gatecrash,Warmind INfantry,1,,
,Gatecrash,Foundry Street Denizen,2,,
,Gatecrash,Bomber Corps,1,,
,Gatecrash,Firefist Striker,1,,
,Gatecrash,Ember beast,1,,
,Gatecrash,Towering Thunderfist,1,,
,Gatecrash,Cinder elemental,1,,
,Gatecrash,Tin Street Market,2,,
,Gatecrash,Structural Collapse,1,,
,Gatecrash,Homing Lightning,1,,
,Mirrodin,Groffskithur,1,,
,Mirrodin,Slith Predator,1,,
,Mirrodin,Cobalt Golem,1,,
,Mirrodin,Titanium Golem,1,,
,Mirrodin,Yotian Soldier,1,,
,Mirrodin,Malachite Golem,1,,
,Mirrodin,Tooth of Chiss-Goria,1,,
,Mirrodin,Galvanic Key,1,,
,Mirrodin,Vorrac Battlehorns,1,,
,Gatecrash,Razortip Whip,1,,
,Gatecrash,Glaring Spotlight,1,,
,Gatecrash,Millennial Gargoyle,1,,
,Mirrodin,Vulshok Berserker,1,,
,Dragon's Maze,Orzhov Cluestone,2,,
,Dragon's Maze,Boros Cluestone,1,,
,Dragon's Maze,Dimir Cluestone,2,,
,Dragon's Maze,Simic Cluestone,1,,
,Dragon's Maze,Golgari Cluestone,1,,
,Dragon's Maze,Selesnya Cluestone,1,,
,Dragon's Maze,Hired Torturer,3,,
,Dragon's Maze,Bane Alley Blackguard,2,,
,Dragon's Maze,Ubul Sar Gatekeepers,2,,
,Dragon's Maze,Blood Scrivener,1,,
,Dragon's Maze,Rakdos Drake,1,,
,Dragon's Maze,Crypt Incursion,1,,
,Dragon's Maze,Sinister Possession,2,,
,Dragon's Maze,Fatal Fumes,1,,
,Torment,Enslaved Dwarf,1,,
,Torment,Crackling Club,1,,
,Torment,Soul Scourge,1,,
,Torment,Cabal Surgeon,1,,
,Torment,Psychotic haze,1,,
,Torment,Strength of Lunacy,1,,
,Torment,Mesmeric Fiend,1,,
,Torment,Acorn Harvest,1,,
,Dragon's Maze,Smelt-Ward Gatekeepers,1,,
,Dragon's Maze,Maze Rusher,1,,
,Dragon's Maze,Possibility Storm,1,,
,Dissension,Slaughterhouse Bouncer,1,,
,Dissension,Drekavac,2,,
,Dissension,Ragamuffyn,2,,
,Dissension,Demon's Jester,2,,
,Dissension,Slithering Shade,2,,
,Dissension,Seal of Fire,3,,
,Dissension,Taste for Mayhem,2,,
,Dissension,Cackling Flames,2,,
,Dissension,Ignorant Bliss,2,,
,Tenth Edition,Wall of Fire,1,,
,Tenth Edition,Prodigal Pyromancer,1,,
,Tenth Edition,Lightning Elemental,2,,
,Tenth Edition,Anaba Bodyguard,1,,
,Tenth Edition,Hill Giant,1,,
,Tenth Edition,Blaze,1,,
,Tenth Edition,Demolish,1,,
,Tenth Edition,Lava Axe,2,,
,Tenth Edition,Incinerate,2,,
,Tenth Edition,Shock,2,,
,Guildpact,Douse in Gloom,1,,
,Guildpact,Scorched Rusalka,2,,
,Ravnica: City of Guilds,Torpid Moloch,2,,
,Ravnica: City of Guilds,Sadistic Augermage,2,,
,Scars of Mirrodin,Blistergrub,2,,
,Scars of Mirrodin,Scoria Elemental,1,,
,Morningtide,Kindled Fury,1,,
,Lorwyn,Axegrinder Giant,1,,
,Lorwyn,Flamekin Brawler,2,,
,Magic 2011,Prodigal Pyromancer,1,,
,Magic 2011,Fling,1,,
,Magic 2011,Disentomb,1,,
,Magic 2010,Act of Treason,1,,
,Magic 2010,Dragon Whelp,1,,
,Magic 2010,Fireball,1,,
,Magic 2010,Lightning Bolt,2,,
,Magic 2010,Howling Banshee,1,,
,Return to Ravnica,Detention Sphere,1,,
,Return to Ravnica,Azor's Elocutors,1,,
,Return to Ravnica,Vassal Soul,3,,
,Return to Ravnica,Dramatic Rescue,1,,
,Return to Ravnica,Hussar Patrol,1,,
,Return to Ravnica,Common Bond,2,,
,Return to Ravnica,Centaur Healer,1,,
,Return to Ravnica,Heroes' Reunion,1,,
,Return to Ravnica,Coursers' Accord,1,,
,Return to Ravnica,Frostburn Weird,2,,
,Return to Ravnica,Izzet Staticaster,1,,
,Return to Ravnica,Essence Backlash,1,,
,Return to Ravnica,Skull rend,1,,
,Return to Ravnica,Rakdos Cackler,1,,
,Return to Ravnica,Golgari Longlegs,1,,
,Return to Ravnica,Trestle Troll,2,,
,Return to Ravnica,Auger Spree,1,,
,Return to Ravnica,Spawn of Rix Maadi,1,,
,Dissension,Gobhobbler Rats,3,,
,Dissension,Wrecking Ball,1,,
,Dissension,Rakdos Ickspitter,1,,
,Dissension,Twinstrike,1,,
,Dissension,Rakdos Guildmage,1,,
,Dark Ascension,Stromkirk Captain,1,,
,Gatecrash,Elusive Krasis,1,,
,Gatecrash,Foundry Champion,1,,
,Gatecrash,Consuming Aberration,1,,
,Gatecrash,Cartel Aristocrat,2,,
,Gatecrash,Deathcult Rogue,3,,
,Gatecrash,Shambleshark,2,,
,Gatecrash,Vizkopa Guildmage,1,,
,Gatecrash,Wojek Halberdiers,1,,
,Gatecrash,Vizkopa Confessor,1,,
,Gatecrash,Spark Trooper,1,,
,Gatecrash,Gift of Orzhova,2,,
,Gatecrash,Primal Visitation,1,,
,Gatecrash,Call of the Nightwing,1,,
,Gatecrash,Paranoid Delusions,1,,
,Gatecrash,Coerced Confession,1,,
,Gatecrash,Purge the Profane,1,,
,Gatecrash,Shattering Blow,2,,
,Gatecrash,Bioshift,1,,
,Gatecrash,Beckon Apparition,3,,
,Gatecrash,Martial Glory,1,,
,Gatecrash,Executioner's Swing,1,,
,Dragon's Maze,Sire of Insanity,1,,
,Dragon's Maze,Maw of the Obzedat,1,,
,Dragon's Maze,Nivix Cyclops,1,,
,Dragon's Maze,Trostani's Summoner,1,,
,Dragon's Maze,Jelenn Sphinx,1,,
,Dragon's Maze,Sin Collector,1,,
,Dragon's Maze,Beetleform Mage,1,,
,Dragon's Maze,Tithe Drinker,1,,
,Dragon's Maze,Profit//Loss,1,,
,Dragon's Maze,Render Silent,1,,
,Dragon's Maze,Warped Physique,1,,
,Dragon's Maze,Putrefy,1,,
,Dragon's Maze,Showstopper,1,,
,Dragon's Maze,Gaze of Granite,1,,
,Dragon's Maze,Debt to the Deathless,2,,
,Dragon's Maze,Drown in Filth,1,,
,Dragon's Maze,Pilfered Plans,2,,
,Dragon's Maze,Blast of Genius,2,,
,Dragon's Maze,Morgue Burst,1,,
,Gatecrash,Sage's Row Denizen,1,TRUE,
,Magic 2012,Buried Ruin,2,,In binder
,Zendikar,Piranha Marsh,1,,In binder
,Zendikar,Soaring Seacliff,1,,In binder
,Zendikar,Kazandu Refuge,1,,In binder
,Magic 2010,Terramorphic Expanse,1,,In binder
,Mirrodin,Talisman of Indulgence,1,,In binder
,Dissension,"Rix Maadi, Dungeon Palace",1,,In binder
,Lorwyn,Shimmering Grotto,1,,In binder
,Avacyn Restored,Seraph Sanctuary,1,,In binder
,Magic 2013,Dragonskull Summit,1,,In binder
,Dark Ascension,Haunted Fengraf,2,,In binder
,Innistrad,Shimmering Grotto,3,,
,Innistrad,Stensia Bloodhall,1,,
,Innistrad,Gavony Township,2,,
,Gatecrash,Biomass Mutation,1,,
,Gatecrash,Boros Guildgate,2,,
,Gatecrash,Orzhov Guildgate,1,,
,Gatecrash,Godless Shrine,1,,
,Gatecrash,Simic Guildgate,1,,
,Gatecrash,Gruul Guildgate,1,,
,Dragon's Maze,Dimir Guildgate,1,TRUE,
,Dragon's Maze,Dimir Guildgate,1,,
,Dragon's Maze,Selesnya Guildgate,1,,
,Dragon's Maze,Orzhov Guildgate,2,,
,Dragon's Maze,Rakdos Guildgate,1,,
,Dragon's Maze,Golgari Guildgate,1,,
,Return to Ravnica,Golgari Guildgate,1,,
,Return to Ravnica,Rakdos Guildgate,1,,
,Return to Ravnica,Azorius Guildgate,2,,
,Return to Ravnica,Selesnya Guildgate,2,,
,Scourge,"Karona, False God",1,,
,Innistrad,Evil Twin,1,,
,Dissension,"Lyzolda, the Blood Witch",1,,
,Return to Ravnica,Counterflux,1,,
,Return to Ravnica,Cryptborn Horror,1,,
,Zendikar,Halo Hunter,1,,
,Dark Ascension,Curse of Misfortunes,1,,
,Magic 2013,Shimian Specter,1,,
,Magic 2013,Xathrid Gorgon,1,,
,Avacyn Restored,Zealous Conscripts,1,,
,Avacyn Restored,Rite of Ruin,1,,
,Magic 2011,Leyline of Punishment,1,,
,Dark Ascension,Alpha Brawl,1,,
,Zendikar,Kazuul Warlord,1,,
,Unhinged,Mox Lotus,1,,
,Mirrodin Besieged,Bonehoard,2,,
,Scars of Mirrodin,Tower of Calamities,1,,
,Mirrodin,Psychogenic Probe,1,,
,Mirrodin Besieged,Psychosis Crawler,1,,
,Magic 2012,Pentavus,1,,
,Magic 2012,Sundial of the Infinite,1,,
,Innistrad,Manor Gargoyle,1,,
,Betrayers of Kamigawa,Mirror Gallery,1,,
,Innistrad,Witchbane Orb,1,,
,Avacyn Restored,Otherworld Atlas,1,,
,Magic 2013,"Nicol Bolas, Planeswalker",1,,
,Innistrad,Grimoire of the Dead,1,,
,Innistrad,"Grimgrin, Corpse-Born",1,,
,Dark Ascension,Helvault,1,,
,Avacyn Restored,Descent into Madness,1,,
,Magic 2011,Garruk Wildspeaker,1,,
,Avacyn Restored,Primal Surge,1,,
,Return to Ravnica,"Rakdos, Lord of Riots",1,,
,Magic 2012,Doubling Chant,2,,
,Innistrad,Elder of Laurels,1,,
,Magic 2012,Arachnus Spinner,1,,
,New Phyrexia,Chancellor of the Tangle,1,,
,Innistrad,Splinterfright,2,,
,Innistrad,Kessig Cagebreakers,1,,
,Return to Ravnica,Wild Beastmaster,1,,
,Avacyn Restored,Champion of Lambholt,1,,
,Innistrad,Gutter Grime,1,,
,Dark Ascension,Ghoultree,1,,
,Innistrad,Moldgraf Monstrosity,1,,
,Dark Ascension,Lost in the Woods,1,,
,Magic 2013,Silklash Spider,2,,
,Return to Ravnica,Mana Bloom,1,,